,Preco_Atual,MM21,MM50,MM200,Volatilidade,IFR,Estocastico,Recomendacao
AAPL,231.02999877929688,216.3425496419271,,,161.1718502093506,67.2864999640088,92.62332788809097,Neutra
PETR4.SA,29.959999084472656,31.594761621384393,31.684399795532226,,13.94091029847531,28.71897797562376,0.0,Neutra
VALE3.SA,53.22999954223633,53.27441606067476,52.22212043762207,,17.81306100145987,49.487089409189835,64.78768965484926,Neutra
