Date,AAPL,PETR4.SA,VALE3.SA
2024-07-11,226.25392150878903,32.70625686645508,55.13336944580078
2024-07-12,229.20672607421875,32.55266571044922,55.94245147705078
2024-07-15,233.04440307617188,32.851314544677734,56.00468826293945
2024-07-16,233.46197509765625,32.76598358154297,55.41788101196289
2024-07-17,227.55633544921875,32.936641693115234,54.90220260620117
2024-07-18,222.8834991455078,32.87690734863281,54.38652420043945
2024-07-19,223.0127410888672,33.0134391784668,54.342063903808594
2024-07-22,222.664794921875,32.356407165527344,54.279823303222656
2024-07-23,223.7086944580078,31.93829917907715,53.55076599121094
2024-07-24,217.276123046875,32.19428634643555,53.87973403930664
2024-07-25,216.23220825195312,32.1516227722168,53.853057861328125
2024-07-26,216.69949340820312,32.11749267578125,54.65325546264648
2024-07-29,216.97787475585935,31.4689998626709,54.75105667114258
2024-07-30,217.5346221923828,31.27274513244629,53.5418701171875
2024-07-31,220.795654296875,31.921236038208008,54.795509338378906
2024-08-01,217.09716796875,31.43486976623535,53.568546295166016
2024-08-02,218.5885009765625,30.48772621154785,52.82169723510742
2024-08-05,208.05975341796875,30.46212577819824,52.54872512817383
2024-08-06,206.03155517578125,30.991161346435547,52.81598663330078
2024-08-07,208.60655212402344,30.94849967956543,52.71460723876953
2024-08-08,212.07638549804688,31.443395614624023,52.39205551147461
2024-08-09,214.9894561767578,31.153284072875977,52.58559036254883
2024-08-12,216.52230834960935,31.86150550842285,52.31832504272461
2024-08-13,220.24496459960935,31.665254592895508,52.08793258666992
2024-08-14,220.69290161132807,32.21988296508789,51.60871124267578
2024-08-15,223.6790008544922,32.71479034423828,51.82067108154297
2024-08-16,225.0028381347656,32.851314544677734,51.68243789672852
2024-08-19,224.8435821533203,32.80011367797852,52.51185989379883
2024-08-20,225.4607086181641,32.672122955322266,52.71460723876953
2024-08-21,225.3511962890625,32.475868225097656,53.72835159301758
2024-08-22,223.4898834228516,32.57521057128906,53.80208206176758
2024-08-23,225.78916931152344,32.37336730957031,52.89892959594727
2024-08-26,226.1275787353516,34.725242614746094,53.49795150756836
2024-08-27,226.97364807128903,34.260135650634766,55.11072540283203
2024-08-28,225.44078063964844,34.75156784057617,54.71444320678711
2024-08-29,228.7255096435547,34.51462936401367,54.64993667602539
2024-08-30,227.9391632080078,34.54973220825195,54.90797805786133
2024-09-02,,34.22502899169922,54.13385009765625
2024-09-03,221.73802185058597,33.81257629394531,52.11557769775391
2024-09-04,219.8269195556641,33.82135391235352,52.52107620239258
2024-09-05,221.34982299804688,33.61073684692383,52.89892959594727
2024-09-06,219.7970733642578,32.95256423950195,52.23538589477539
2024-09-09,219.8866424560547,33.3123664855957,52.23538589477539
2024-09-10,219.09034729003903,32.75950241088867,51.60871124267578
2024-09-11,221.62852478027344,32.724395751953125,53.07402801513672
2024-09-12,221.73802185058597,32.35581970214844,53.55324935913086
2024-09-13,221.4692840576172,32.206634521484375,53.91266632080078
2024-09-16,215.31790161132807,32.65419387817383,53.91266632080078
2024-09-17,215.78570556640625,32.5050048828125,53.65462493896485
2024-09-18,219.66766357421875,31.723976135253903,53.027950286865234
2024-09-19,227.8097686767578,31.82927894592285,53.66383743286133
